Frame,Timestamp (ms),Accel X,Accel Y,Accel Z,Gyro X,Gyro Y,Gyro Z
0,1762446264084,-0.4290737509727478,-9.37187385559082,2.6288905143737793,0.4929981529712677,0.6612098217010498,-1.5305076837539673
1,1762446264097,-0.4430896043777466,-9.412520408630371,2.569110631942749,0.5883573293685913,1.1560505628585815,-2.136375904083252
2,1762446264128,-0.5191065669059753,-9.46049976348877,2.485691547393799,-0.18535162508487701,-1.7527449131011963,0.32332468032836914
3,1762446264160,-0.47676706314086914,-9.336068153381348,2.609819173812866,-0.4155009686946869,-0.4207182824611664,-0.4122152626514435
4,1762446264193,-0.47846654057502747,-9.45569896697998,2.4832448959350586,0.10463880002498627,0.3827947676181793,-1.8023812770843506
5,1762446264227,-0.45007359981536865,-9.620502471923828,2.5358026027679443,-0.09134293347597122,0.2923431396484375,0.8211479187011719
6,1762446264260,-0.3617247939109802,-9.381586074829102,2.55012845993042,0.4440138041973114,0.19887351989746094,1.3080090284347534
7,1762446264294,-0.47156986594200134,-9.386357307434082,2.533414840698242,0.24416998028755188,-0.514995813369751,-0.6786491870880127
8,1762446264327,-0.47920992970466614,-9.43877124786377,2.619339942932129,0.5429118871688843,0.4144291281700134,-0.05020848289132118
9,1762446264361,-0.40461376309394836,-9.467602729797363,2.526221990585327,0.1795659214258194,0.10561075061559677,0.4625963866710663
10,1762446264394,-0.5073925256729126,-9.419803619384766,2.528639793395996,-0.19066201150417328,-1.2871568202972412,1.4661558866500854
11,1762446264427,-0.4315711557865143,-9.36938190460205,2.6478729248046875,0.38678574562072754,-0.3597443997859955,0.5890360474586487
12,1762446264462,-0.4497230350971222,-9.450929641723633,2.4712769985198975,0.04021025821566582,0.22842484712600708,-1.1377817392349243
13,1762446264494,-0.4050441086292267,-9.438814163208008,2.6050140857696533,0.41267886757850647,-0.5139296054840088,1.132529854774475
14,1762446264527,-0.49337831139564514,-9.340892791748047,2.5883595943450928,-0.08569547533988953,0.22968654334545135,-0.14380595088005066
15,1762446264560,-0.47620701789855957,-9.37682056427002,2.5071213245391846,-0.5340409874916077,0.6641843318939209,0.03130452334880829
16,1762446264594,-0.3977155089378357,-9.429357528686523,2.576451539993286,-0.565679132938385,-0.2962377667427063,-0.26375192403793335
17,1762446264627,-0.4454909563064575,-9.467504501342773,2.5715575218200684,-0.440131276845932,0.5704138875007629,-0.6910995244979858
18,1762446264660,-0.462287962436676,-9.374248504638672,2.583406686782837,0.2714426815509796,-0.48410752415657043,-0.19503839313983917
19,1762446264694,-0.4547245502471924,-9.405471801757812,2.511866807937622,0.036944158375263214,-1.197060465812683,-1.4284377098083496
20,1762446264727,-0.4766120910644531,-9.60605525970459,2.5811080932617188,0.0006439420976676047,-0.14223580062389374,0.22222991287708282
21,1762446264760,-0.43336033821105957,-9.364786148071289,2.538071632385254,-0.18924367427825928,-0.4197215139865875,1.7619402408599854
22,1762446264794,-0.3809777498245239,-9.26201057434082,2.573885679244995,-0.42857253551483154,0.47573792934417725,-2.620412826538086
23,1762446264828,-0.4188228249549866,-9.685050964355469,2.5023460388183594,0.3036578893661499,0.0428357869386673,-0.2902214527130127
24,1762446264861,-0.526567280292511,-9.429266929626465,2.538071632385254,-0.0829562246799469,-1.069122314453125,3.577529191970825
25,1762446264894,-0.369141548871994,-9.21906852722168,2.5955231189727783,0.26793721318244934,0.35379210114479065,0.8228182792663574
26,1762446264927,-0.4381255805492401,-9.429333686828613,2.535742998123169,-0.3364371359348297,0.5374359488487244,-2.9826765060424805
27,1762446264960,-0.4549846351146698,-9.601333618164062,2.5596492290496826,0.7197926640510559,-0.3294781446456909,-0.04330376163125038
28,1762446264994,-0.4641953408718109,-9.383936882019043,2.4950644969940186,0.5330500602722168,-0.2665606737136841,1.1925660371780396
29,1762446265027,-0.49827948212623596,-9.395719528198242,2.6097002029418945,0.04147328436374664,0.6620697975158691,-1.0803792476654053
30,1762446265061,-0.4071088135242462,-9.510560989379883,2.5452935695648193,0.459795743227005,1.2815719842910767,-0.6303715109825134
31,1762446265093,-0.47145411372184753,-9.474754333496094,2.511866807937622,0.26330500841140747,-1.3817397356033325,0.5955000519752502
32,1762446265127,-0.4196729362010956,-9.433897972106934,2.6574528217315674,0.8346660137176514,0.35266852378845215,1.1593854427337646
33,1762446265161,-0.44027993083000183,-9.376852989196777,2.49279522895813,0.5740912556648254,0.3522176146507263,-0.2908407151699066
